timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,avg_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-24 20:54:08,2,10-1000,30,330,330,0,100.00,150,11.00,2025-10-24 20:53:38,2025-10-24 20:54:08
2025-10-24 20:54:38,3,10-1000,30,320,320,0,100.00,150,10.67,2025-10-24 20:54:08,2025-10-24 20:54:38
2025-10-24 20:55:08,4,10-1000,30,328,328,0,100.00,150,10.93,2025-10-24 20:54:38,2025-10-24 20:55:08
2025-10-24 20:55:12,1,10-1000,90,988,988,0,100.00,150,10.98,2025-10-24 20:53:42,2025-10-24 20:55:12
2025-10-24 20:55:38,5,10-1000,30,339,339,0,100.00,150,11.30,2025-10-24 20:55:08,2025-10-24 20:55:38
2025-10-24 20:56:08,6,10-1000,30,326,326,0,100.00,150,10.87,2025-10-24 20:55:38,2025-10-24 20:56:08
2025-10-24 20:56:38,7,10-1000,30,328,328,0,100.00,150,10.93,2025-10-24 20:56:08,2025-10-24 20:56:38
2025-10-24 20:56:42,2,10-1000,90,1000,1000,0,100.00,150,11.11,2025-10-24 20:55:12,2025-10-24 20:56:42
2025-10-24 20:57:08,8,10-1000,30,345,345,0,100.00,150,11.50,2025-10-24 20:56:38,2025-10-24 20:57:08
2025-10-24 20:57:38,9,10-1000,30,326,326,0,100.00,150,10.87,2025-10-24 20:57:08,2025-10-24 20:57:38
2025-10-24 20:58:08,10,10-1000,30,333,333,0,100.00,150,11.10,2025-10-24 20:57:38,2025-10-24 20:58:08
