timestamp,session_number,user_range,duration_seconds,total_requests,successful_requests,failed_requests,success_rate_percent,min_latency_ms,avg_latency_ms,max_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_req_per_sec,test_start_time,test_end_time
2025-10-25 12:09:48,5,10-1000,90,733,733,0,100.00,77,88.84,163,88,99,107,8.14,2025-10-25 12:08:18,2025-10-25 12:09:48
2025-10-25 12:10:35,1,10-1000,90,1019,1019,0,100.00,44,53.04,111,52,63,75,11.32,2025-10-25 12:09:05,2025-10-25 12:10:35
2025-10-25 12:12:10,2,10-1000,90,1011,1011,0,100.00,46,55.28,141,55,63,76,11.23,2025-10-25 12:10:40,2025-10-25 12:12:10
2025-10-25 12:13:45,3,10-1000,90,1021,1021,0,100.00,45,55.18,114,55,62,78,11.34,2025-10-25 12:12:15,2025-10-25 12:13:45
2025-10-25 12:15:20,4,10-1000,90,1034,1034,0,100.00,46,54.14,158,54,60,65,11.49,2025-10-25 12:13:50,2025-10-25 12:15:20
2025-10-25 12:16:55,5,10-1000,90,1021,1021,0,100.00,46,55.14,180,55,61,67,11.34,2025-10-25 12:15:25,2025-10-25 12:16:55
2025-10-25 12:18:30,6,10-1000,90,1022,1022,0,100.00,46,55.07,109,55,62,74,11.36,2025-10-25 12:17:00,2025-10-25 12:18:30
2025-10-25 12:20:05,7,10-1000,90,1009,1009,0,100.00,46,55.95,110,56,64,75,11.21,2025-10-25 12:18:35,2025-10-25 12:20:05
2025-10-25 12:21:40,8,10-1000,90,1006,1006,0,100.00,45,56.07,176,56,64,73,11.18,2025-10-25 12:20:10,2025-10-25 12:21:40
2025-10-25 12:23:15,9,10-1000,90,1011,1011,0,100.00,46,55.83,119,56,64,69,11.23,2025-10-25 12:21:45,2025-10-25 12:23:15
2025-10-25 12:24:50,10,10-1000,90,1020,1020,0,100.00,45,55.25,123,55,63,72,11.33,2025-10-25 12:23:20,2025-10-25 12:24:50
